Daily data for a single station.
StationID:  , USC00121952
StationName:, "CULVER EXP FARM"
Lat&Long    , 41.167, -86.467
Elevation:  , -9999.000
Starts(YMD):,1958-01-01
Ends(YMD):  ,1975-05-31
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
1958-01-01,-11.70,2.80,3.00,NA,NA,NA,NA
1958-01-02,-15.60,-7.80,0.00,NA,NA,NA,NA
1958-01-03,-18.90,-7.20,0.00,NA,NA,NA,NA
1958-01-04,-16.70,-4.40,0.00,NA,NA,NA,NA
1958-01-05,-17.80,-3.90,0.00,NA,NA,NA,NA
1958-01-06,-7.80,1.70,0.00,NA,NA,NA,NA
1958-01-07,-9.40,1.10,0.30,NA,NA,NA,NA
1958-01-08,-17.80,-5.60,0.00,NA,NA,NA,NA
1958-01-09,-12.20,-2.80,0.00,NA,NA,NA,NA
1958-01-10,-7.20,3.30,0.00,NA,NA,NA,NA
1958-01-11,-6.70,5.00,0.00,NA,NA,NA,NA
1958-01-12,-8.90,0.60,0.00,NA,NA,NA,NA
1958-01-13,-7.80,3.90,0.00,NA,NA,NA,NA
1958-01-14,-5.60,5.60,0.00,NA,NA,NA,NA
1958-01-15,-5.00,6.10,0.00,NA,NA,NA,NA
1958-01-16,-3.30,2.20,0.00,NA,NA,NA,NA
1958-01-17,-2.20,0.00,0.00,NA,NA,NA,NA
1958-01-18,-5.00,2.20,0.00,NA,NA,NA,NA
1958-01-19,-11.10,0.00,0.00,NA,NA,NA,NA
1958-01-20,-6.10,2.80,0.00,NA,NA,NA,NA
1958-01-21,0.00,1.70,9.10,NA,NA,NA,NA
1958-01-22,-1.10,2.20,9.90,NA,NA,NA,NA
1958-01-23,-6.70,0.00,0.00,NA,NA,NA,NA
1958-01-24,-3.30,2.20,0.00,NA,NA,NA,NA
1958-01-25,-3.30,-0.60,13.20,NA,NA,NA,NA
1958-01-26,-2.80,1.10,0.50,NA,NA,NA,NA
1958-01-27,-4.40,0.60,1.80,NA,NA,NA,NA
1958-01-28,-4.40,0.00,1.50,NA,NA,NA,NA
1958-01-29,-6.10,1.70,0.00,NA,NA,NA,NA
1958-01-30,-8.30,-0.60,0.30,NA,NA,NA,NA
1958-01-31,-7.80,-1.70,0.00,NA,NA,NA,NA
1958-02-01,-8.30,-2.80,0.00,NA,NA,NA,NA
1958-02-02,-9.40,-2.80,0.30,NA,NA,NA,NA
1958-02-03,-10.00,-3.90,0.80,NA,NA,NA,NA
1958-02-04,-15.60,-1.10,0.00,NA,NA,NA,NA
1958-02-05,-11.10,2.80,0.00,NA,NA,NA,NA
1958-02-06,-1.10,1.10,0.00,NA,NA,NA,NA
1958-02-07,-8.30,1.10,0.00,NA,NA,NA,NA
1958-02-08,-18.30,-4.40,0.00,NA,NA,NA,NA
1958-02-09,-21.70,-12.20,0.00,NA,NA,NA,NA
1958-02-10,-20.60,-14.40,0.00,NA,NA,NA,NA
1958-02-11,-18.90,-11.10,0.00,NA,NA,NA,NA
1958-02-12,-17.20,-11.70,0.00,NA,NA,NA,NA
1958-02-13,-16.70,-11.10,0.00,NA,NA,NA,NA
1958-02-14,-13.90,-5.60,0.00,NA,NA,NA,NA
1958-02-15,-8.90,-2.80,3.00,NA,NA,NA,NA
1958-02-16,-17.20,-6.10,1.00,NA,NA,NA,NA
1958-02-17,-22.80,-12.20,1.00,NA,NA,NA,NA
1958-02-18,-20.60,-11.70,0.00,NA,NA,NA,NA
1958-02-19,-16.10,-10.60,0.00,NA,NA,NA,NA
1958-02-20,-12.20,-4.40,0.00,NA,NA,NA,NA
1958-02-21,-9.40,0.60,0.00,NA,NA,NA,NA
1958-02-22,-2.20,1.10,0.00,NA,NA,NA,NA
1958-02-23,-3.30,3.30,0.00,NA,NA,NA,NA
1958-02-24,-1.10,12.20,0.00,NA,NA,NA,NA
1958-02-25,-3.90,13.30,0.00,NA,NA,NA,NA
1958-02-26,1.10,11.70,0.00,NA,NA,NA,NA
1958-02-27,3.30,10.60,0.00,NA,NA,NA,NA
1958-02-28,-0.60,5.00,15.00,NA,NA,NA,NA
1958-03-01,-2.80,2.20,0.80,NA,NA,NA,NA
1958-03-02,-1.10,2.20,0.30,NA,NA,NA,NA
1958-03-03,-3.90,1.10,1.00,NA,NA,NA,NA
1958-03-04,-3.30,1.10,0.30,NA,NA,NA,NA
1958-03-05,-4.40,2.80,0.00,NA,NA,NA,NA
1958-03-06,0.00,6.10,2.30,NA,NA,NA,NA
1958-03-07,-4.40,4.40,0.00,NA,NA,NA,NA
1958-03-08,-2.80,4.40,0.00,NA,NA,NA,NA
1958-03-09,-3.90,6.10,0.00,NA,NA,NA,NA
1958-03-10,-3.30,3.90,0.00,NA,NA,NA,NA
1958-03-11,-1.70,3.90,0.00,NA,NA,NA,NA
1958-03-12,-9.40,3.30,0.00,NA,NA,NA,NA
1958-03-13,-3.90,8.30,0.00,NA,NA,NA,NA
1958-03-14,-3.90,6.10,0.00,NA,NA,NA,NA
1958-03-15,-4.40,4.40,1.50,NA,NA,NA,NA
1958-03-16,-2.20,0.60,0.00,NA,NA,NA,NA
1958-03-17,-7.80,1.10,0.00,NA,NA,NA,NA
1958-03-18,-7.20,4.40,0.00,NA,NA,NA,NA
1958-03-19,-2.80,6.10,0.00,NA,NA,NA,NA
1958-03-20,-2.20,3.30,0.30,NA,NA,NA,NA
1958-03-21,-1.70,4.40,0.00,NA,NA,NA,NA
1958-03-22,-8.90,5.00,0.00,NA,NA,NA,NA
1958-03-23,-1.70,5.60,0.00,NA,NA,NA,NA
1958-03-24,0.00,10.00,1.80,NA,NA,NA,NA
1958-03-25,-0.60,2.80,7.60,NA,NA,NA,NA
1958-03-26,-3.90,7.20,0.00,NA,NA,NA,NA
1958-03-27,-0.60,9.40,0.00,NA,NA,NA,NA
1958-03-28,0.60,5.60,3.60,NA,NA,NA,NA
1958-03-29,-5.60,8.30,0.00,NA,NA,NA,NA
1958-03-30,-3.30,11.10,0.00,NA,NA,NA,NA
1958-03-31,-2.80,13.30,0.00,NA,NA,NA,NA
1958-04-01,-3.90,12.80,0.00,NA,NA,NA,NA
1958-04-02,3.90,13.90,0.50,NA,NA,NA,NA
1958-04-03,5.00,13.90,0.00,NA,NA,NA,NA
1958-04-04,4.40,17.20,0.00,NA,NA,NA,NA
1958-04-05,4.40,15.60,0.30,NA,NA,NA,NA
1958-04-06,5.60,19.40,14.00,NA,NA,NA,NA
1958-04-07,0.00,11.10,1.00,NA,NA,NA,NA
1958-04-08,-1.10,6.10,0.00,NA,NA,NA,NA
1958-04-09,-1.70,10.60,0.00,NA,NA,NA,NA
1958-04-10,0.00,8.30,0.00,NA,NA,NA,NA
1958-04-11,1.10,7.80,1.00,NA,NA,NA,NA
1958-04-12,-0.60,10.00,0.00,NA,NA,NA,NA
1958-04-13,-2.80,12.80,0.00,NA,NA,NA,NA
1958-04-14,-1.70,19.40,0.00,NA,NA,NA,NA
1958-04-15,2.80,20.60,0.00,NA,NA,NA,NA
1958-04-16,3.90,21.70,0.00,NA,NA,NA,NA
1958-04-17,4.40,24.40,0.00,NA,NA,NA,NA
1958-04-18,9.40,26.70,0.00,NA,NA,NA,NA
1958-04-19,6.10,27.20,0.00,NA,NA,NA,NA
1958-04-20,12.20,25.60,7.60,NA,NA,NA,NA
1958-04-21,3.90,17.80,2.30,NA,NA,NA,NA
1958-04-22,8.90,20.00,0.50,NA,NA,NA,NA
1958-04-23,0.60,13.30,2.30,NA,NA,NA,NA
1958-04-24,7.20,18.30,1.80,NA,NA,NA,NA
1958-04-25,-2.80,11.70,0.00,NA,NA,NA,NA
1958-04-26,0.60,13.30,0.00,NA,NA,NA,NA
1958-04-27,5.00,12.80,0.00,NA,NA,NA,NA
1958-04-28,5.60,10.60,4.10,NA,NA,NA,NA
1958-04-29,0.60,16.10,6.60,NA,NA,NA,NA
1958-04-30,-3.30,8.30,0.00,NA,NA,NA,NA
1958-05-01,2.20,13.90,0.00,NA,NA,NA,NA
1958-05-02,6.70,21.10,0.00,NA,NA,NA,NA
1958-05-03,7.80,17.20,9.90,NA,NA,NA,NA
1958-05-04,8.90,21.10,10.40,NA,NA,NA,NA
1958-05-05,1.70,11.10,0.50,NA,NA,NA,NA
1958-05-06,3.30,11.70,0.00,NA,NA,NA,NA
1958-05-07,-1.70,11.70,0.00,NA,NA,NA,NA
1958-05-08,0.00,16.10,0.00,NA,NA,NA,NA
1958-05-09,3.90,20.60,0.80,NA,NA,NA,NA
1958-05-10,6.10,17.80,0.00,NA,NA,NA,NA
1958-05-11,5.00,23.30,0.00,NA,NA,NA,NA
1958-05-12,6.10,26.10,0.00,NA,NA,NA,NA
1958-05-13,6.10,23.30,0.00,NA,NA,NA,NA
1958-05-14,4.40,23.90,0.00,NA,NA,NA,NA
1958-05-15,13.30,26.70,0.00,NA,NA,NA,NA
1958-05-16,2.80,27.20,6.90,NA,NA,NA,NA
1958-05-17,12.20,25.00,0.00,NA,NA,NA,NA
1958-05-18,16.10,27.80,1.00,NA,NA,NA,NA
1958-05-19,6.70,26.10,0.00,NA,NA,NA,NA
1958-05-20,5.60,22.20,0.00,NA,NA,NA,NA
1958-05-21,3.30,21.70,0.00,NA,NA,NA,NA
1958-05-22,11.70,25.00,4.10,NA,NA,NA,NA
1958-05-23,2.80,21.70,14.00,NA,NA,NA,NA
1958-05-24,4.40,17.80,0.00,NA,NA,NA,NA
1958-05-25,11.10,22.20,0.00,NA,NA,NA,NA
1958-05-26,5.60,21.70,0.00,NA,NA,NA,NA
1958-05-27,11.10,21.70,0.00,NA,NA,NA,NA
1958-05-28,8.30,26.70,10.40,NA,NA,NA,NA
1958-05-29,2.80,16.10,0.00,NA,NA,NA,NA
1958-05-30,8.90,24.40,0.00,NA,NA,NA,NA
1958-05-31,15.60,27.20,1.30,NA,NA,NA,NA
1958-06-01,11.10,27.80,5.30,NA,NA,NA,NA
1958-06-02,8.90,26.10,11.20,NA,NA,NA,NA
1958-06-03,7.80,20.00,0.00,NA,NA,NA,NA
1958-06-04,10.00,21.70,0.00,NA,NA,NA,NA
1958-06-05,14.40,24.40,0.00,NA,NA,NA,NA
1958-06-06,3.30,25.00,0.00,NA,NA,NA,NA
1958-06-07,2.80,20.60,0.00,NA,NA,NA,NA
1958-06-08,15.60,25.60,50.80,NA,NA,NA,NA
1958-06-09,15.60,28.30,76.70,NA,NA,NA,NA
1958-06-10,16.70,25.00,30.70,NA,NA,NA,NA
1958-06-11,12.20,20.60,2.30,NA,NA,NA,NA
1958-06-12,8.90,20.60,0.00,NA,NA,NA,NA
1958-06-13,15.60,22.80,15.50,NA,NA,NA,NA
1958-06-14,10.00,23.90,12.20,NA,NA,NA,NA
1958-06-15,7.20,20.00,0.00,NA,NA,NA,NA
1958-06-16,7.80,20.00,0.00,NA,NA,NA,NA
1958-06-17,11.10,21.10,0.00,NA,NA,NA,NA
1958-06-18,9.40,21.10,7.40,NA,NA,NA,NA
1958-06-19,13.90,22.20,0.00,NA,NA,NA,NA
1958-06-20,13.90,17.80,7.60,NA,NA,NA,NA
1958-06-21,7.80,25.60,0.00,NA,NA,NA,NA
1958-06-22,6.10,21.70,0.00,NA,NA,NA,NA
1958-06-23,11.10,21.70,0.00,NA,NA,NA,NA
1958-06-24,8.90,20.00,0.30,NA,NA,NA,NA
1958-06-25,15.00,23.90,38.90,NA,NA,NA,NA
1958-06-26,10.00,18.90,16.30,NA,NA,NA,NA
1958-06-27,9.40,22.20,0.00,NA,NA,NA,NA
1958-06-28,9.40,25.00,0.00,NA,NA,NA,NA
1958-06-29,15.00,26.70,0.00,NA,NA,NA,NA
1958-06-30,16.70,27.80,0.00,NA,NA,NA,NA
1958-07-01,17.80,28.90,0.00,NA,NA,NA,NA
1958-07-02,20.60,28.90,0.00,NA,NA,NA,NA
1958-07-03,20.60,30.60,2.80,NA,NA,NA,NA
1958-07-04,19.40,28.90,4.60,NA,NA,NA,NA
1958-07-05,20.00,31.10,0.00,NA,NA,NA,NA
1958-07-06,16.10,25.60,0.80,NA,NA,NA,NA
1958-07-07,16.70,27.80,0.00,NA,NA,NA,NA
1958-07-08,13.90,23.30,0.00,NA,NA,NA,NA
1958-07-09,11.70,25.60,0.00,NA,NA,NA,NA
1958-07-10,18.90,27.80,0.00,NA,NA,NA,NA
1958-07-11,16.10,28.30,29.00,NA,NA,NA,NA
1958-07-12,16.10,21.70,16.00,NA,NA,NA,NA
1958-07-13,15.00,25.00,0.00,NA,NA,NA,NA
1958-07-14,18.30,26.70,6.40,NA,NA,NA,NA
1958-07-15,18.30,26.70,34.30,NA,NA,NA,NA
1958-07-16,16.10,28.30,0.00,NA,NA,NA,NA
1958-07-17,11.70,22.80,0.00,NA,NA,NA,NA
1958-07-18,17.20,24.40,1.50,NA,NA,NA,NA
1958-07-19,13.90,25.00,0.00,NA,NA,NA,NA
1958-07-20,14.40,23.30,0.00,NA,NA,NA,NA
1958-07-21,15.00,19.40,0.00,NA,NA,NA,NA
1958-07-22,15.60,21.10,0.00,NA,NA,NA,NA
1958-07-23,12.20,26.10,0.00,NA,NA,NA,NA
1958-07-24,12.80,27.80,0.00,NA,NA,NA,NA
1958-07-25,18.30,28.90,6.10,NA,NA,NA,NA
1958-07-26,13.30,26.70,0.00,NA,NA,NA,NA
1958-07-27,15.60,28.90,0.00,NA,NA,NA,NA
1958-07-28,19.40,28.30,3.60,NA,NA,NA,NA
1958-07-29,15.00,27.80,0.00,NA,NA,NA,NA
1958-07-30,17.80,29.40,0.00,NA,NA,NA,NA
1958-07-31,17.80,26.10,13.00,NA,NA,NA,NA
1958-08-01,16.10,24.40,1.80,NA,NA,NA,NA
1958-08-02,18.30,26.10,0.00,NA,NA,NA,NA
1958-08-03,12.20,25.60,0.00,NA,NA,NA,NA
1958-08-04,13.30,30.60,0.00,NA,NA,NA,NA
1958-08-05,14.40,28.30,0.00,NA,NA,NA,NA
1958-08-06,20.60,31.10,0.00,NA,NA,NA,NA
1958-08-07,17.80,31.70,22.40,NA,NA,NA,NA
1958-08-08,17.20,27.20,16.30,NA,NA,NA,NA
1958-08-09,11.10,27.80,0.00,NA,NA,NA,NA
1958-08-10,13.90,27.80,0.00,NA,NA,NA,NA
1958-08-11,18.90,30.60,35.80,NA,NA,NA,NA
1958-08-12,20.00,28.30,0.00,NA,NA,NA,NA
1958-08-13,17.80,30.00,0.00,NA,NA,NA,NA
1958-08-14,15.60,27.80,0.00,NA,NA,NA,NA
1958-08-15,17.80,30.00,25.40,NA,NA,NA,NA
1958-08-16,14.40,27.20,0.00,NA,NA,NA,NA
1958-08-17,11.70,23.90,0.00,NA,NA,NA,NA
1958-08-18,8.30,25.00,0.00,NA,NA,NA,NA
1958-08-19,7.80,20.60,0.00,NA,NA,NA,NA
1958-08-20,15.00,25.60,0.00,NA,NA,NA,NA
1958-08-21,17.80,28.30,33.80,NA,NA,NA,NA
1958-08-22,11.10,23.30,0.00,NA,NA,NA,NA
1958-08-23,9.40,23.30,0.00,NA,NA,NA,NA
1958-08-24,14.40,23.30,2.30,NA,NA,NA,NA
1958-08-25,9.40,23.30,0.00,NA,NA,NA,NA
1958-08-26,8.30,20.00,0.00,NA,NA,NA,NA
1958-08-27,9.40,23.90,0.00,NA,NA,NA,NA
1958-08-28,13.30,24.40,0.00,NA,NA,NA,NA
1958-08-29,17.80,27.20,0.00,NA,NA,NA,NA
1958-08-30,20.60,29.40,0.00,NA,NA,NA,NA
1958-08-31,16.70,31.10,1.50,NA,NA,NA,NA
1958-09-01,8.30,25.00,0.00,NA,NA,NA,NA
1958-09-02,10.00,20.00,0.00,NA,NA,NA,NA
1958-09-03,14.40,22.80,3.80,NA,NA,NA,NA
1958-09-04,17.80,27.80,0.00,NA,NA,NA,NA
1958-09-05,17.80,31.10,0.00,NA,NA,NA,NA
1958-09-06,18.90,29.40,0.00,NA,NA,NA,NA
1958-09-07,12.20,26.10,0.00,NA,NA,NA,NA
1958-09-08,7.80,22.80,0.00,NA,NA,NA,NA
1958-09-09,6.70,20.00,1.00,NA,NA,NA,NA
1958-09-10,10.60,28.30,1.00,NA,NA,NA,NA
1958-09-11,3.90,18.30,0.00,NA,NA,NA,NA
1958-09-12,1.70,17.20,0.00,NA,NA,NA,NA
1958-09-13,3.90,22.80,0.00,NA,NA,NA,NA
1958-09-14,9.40,25.60,0.00,NA,NA,NA,NA
1958-09-15,13.30,27.20,0.00,NA,NA,NA,NA
1958-09-16,17.80,21.70,53.10,NA,NA,NA,NA
1958-09-17,14.40,24.40,12.40,NA,NA,NA,NA
1958-09-18,10.60,20.60,1.50,NA,NA,NA,NA
1958-09-19,6.10,19.40,0.00,NA,NA,NA,NA
1958-09-20,9.40,19.40,0.00,NA,NA,NA,NA
1958-09-21,10.00,21.10,0.00,NA,NA,NA,NA
1958-09-22,3.90,22.20,2.00,NA,NA,NA,NA
1958-09-23,7.80,22.80,0.00,NA,NA,NA,NA
1958-09-24,14.40,25.00,0.30,NA,NA,NA,NA
1958-09-25,20.00,27.80,0.00,NA,NA,NA,NA
1958-09-26,14.40,25.00,1.50,NA,NA,NA,NA
1958-09-27,7.80,20.60,0.00,NA,NA,NA,NA
1958-09-28,3.30,18.90,0.00,NA,NA,NA,NA
1958-09-29,1.10,16.10,0.00,NA,NA,NA,NA
1958-09-30,10.00,18.30,0.00,NA,NA,NA,NA
1958-10-01,-0.60,11.70,6.10,NA,NA,NA,NA
1958-10-02,-2.20,12.20,0.00,NA,NA,NA,NA
1958-10-03,-0.60,16.70,0.00,NA,NA,NA,NA
1958-10-04,5.00,18.30,0.00,NA,NA,NA,NA
1958-10-05,3.30,25.60,0.00,NA,NA,NA,NA
1958-10-06,1.10,13.30,0.00,NA,NA,NA,NA
1958-10-07,5.00,21.10,0.00,NA,NA,NA,NA
1958-10-08,14.40,26.10,3.80,NA,NA,NA,NA
1958-10-09,13.30,25.00,11.70,NA,NA,NA,NA
1958-10-10,7.20,23.90,0.00,NA,NA,NA,NA
1958-10-11,1.70,12.80,0.00,NA,NA,NA,NA
1958-10-12,-2.20,10.60,0.00,NA,NA,NA,NA
1958-10-13,4.40,15.60,0.00,NA,NA,NA,NA
1958-10-14,9.40,23.90,0.00,NA,NA,NA,NA
1958-10-15,9.40,25.00,0.00,NA,NA,NA,NA
1958-10-16,12.20,25.00,0.00,NA,NA,NA,NA
1958-10-17,10.60,25.60,0.00,NA,NA,NA,NA
1958-10-18,3.90,20.00,0.00,NA,NA,NA,NA
1958-10-19,0.00,17.20,0.00,NA,NA,NA,NA
1958-10-20,0.60,15.60,0.00,NA,NA,NA,NA
1958-10-21,5.60,20.00,0.00,NA,NA,NA,NA
1958-10-22,9.40,22.20,0.00,NA,NA,NA,NA
1958-10-23,5.00,19.40,9.40,NA,NA,NA,NA
1958-10-24,5.00,16.70,0.00,NA,NA,NA,NA
1958-10-25,6.70,13.90,0.80,NA,NA,NA,NA
1958-10-26,6.70,9.40,1.00,NA,NA,NA,NA
1958-10-27,2.80,11.10,1.00,NA,NA,NA,NA
1958-10-28,-1.70,12.80,0.00,NA,NA,NA,NA
1958-10-29,-2.20,13.90,0.00,NA,NA,NA,NA
1958-10-30,-3.90,12.80,0.00,NA,NA,NA,NA
1958-10-31,-3.30,15.60,0.00,NA,NA,NA,NA
1958-11-01,-1.70,17.80,0.00,NA,NA,NA,NA
1958-11-02,2.20,10.00,9.10,NA,NA,NA,NA
1958-11-03,-2.20,7.80,0.50,NA,NA,NA,NA
1958-11-04,1.10,12.20,0.00,NA,NA,NA,NA
1958-11-05,8.90,16.70,0.00,NA,NA,NA,NA
1958-11-06,-2.20,12.20,0.00,NA,NA,NA,NA
1958-11-07,-8.30,8.30,0.00,NA,NA,NA,NA
1958-11-08,0.00,10.00,0.00,NA,NA,NA,NA
1958-11-09,3.30,8.30,5.80,NA,NA,NA,NA
1958-11-10,1.10,9.40,0.00,NA,NA,NA,NA
1958-11-11,-3.30,8.30,0.00,NA,NA,NA,NA
1958-11-12,-6.10,15.00,0.00,NA,NA,NA,NA
1958-11-13,3.30,12.20,0.00,NA,NA,NA,NA
1958-11-14,10.00,16.10,19.60,NA,NA,NA,NA
1958-11-15,12.20,18.90,34.00,NA,NA,NA,NA
1958-11-16,8.90,14.40,0.80,NA,NA,NA,NA
1958-11-17,11.10,17.20,22.60,NA,NA,NA,NA
1958-11-18,6.10,20.60,0.50,NA,NA,NA,NA
1958-11-19,0.00,9.40,0.00,NA,NA,NA,NA
1958-11-20,1.70,8.90,0.00,NA,NA,NA,NA
1958-11-21,-3.30,11.10,0.00,NA,NA,NA,NA
1958-11-22,-1.10,5.60,0.00,NA,NA,NA,NA
1958-11-23,-0.60,8.30,0.00,NA,NA,NA,NA
1958-11-24,1.10,13.90,1.80,NA,NA,NA,NA
1958-11-25,-1.10,3.90,0.00,NA,NA,NA,NA
1958-11-26,-7.20,8.30,17.00,NA,NA,NA,NA
1958-11-27,-11.10,-1.10,0.00,NA,NA,NA,NA
1958-11-28,-7.80,-2.80,2.50,NA,NA,NA,NA
1958-11-29,-11.70,-6.10,1.00,NA,NA,NA,NA
1958-11-30,-20.60,-4.40,0.00,NA,NA,NA,NA
1958-12-01,-15.60,-4.40,0.00,NA,NA,NA,NA
1958-12-02,-12.20,-0.60,0.00,NA,NA,NA,NA
1958-12-03,-5.60,1.10,0.00,NA,NA,NA,NA
1958-12-04,-6.70,1.10,0.00,NA,NA,NA,NA
1958-12-05,-7.20,4.40,0.00,NA,NA,NA,NA
1958-12-06,-15.00,-4.40,0.00,NA,NA,NA,NA
1958-12-07,-14.40,-7.80,0.00,NA,NA,NA,NA
1958-12-08,-11.70,-7.80,3.80,NA,NA,NA,NA
1958-12-09,-25.60,-7.20,2.80,NA,NA,NA,NA
1958-12-10,-28.30,-10.00,0.00,NA,NA,NA,NA
1958-12-11,-23.90,-10.00,0.80,NA,NA,NA,NA
1958-12-12,-20.60,-7.20,0.00,NA,NA,NA,NA
1958-12-13,-27.80,-12.80,0.50,NA,NA,NA,NA
1958-12-14,-24.40,-10.00,0.00,NA,NA,NA,NA
1958-12-15,-26.10,-12.80,0.30,NA,NA,NA,NA
1958-12-16,-20.60,-10.60,0.00,NA,NA,NA,NA
1958-12-17,-11.70,0.60,0.00,NA,NA,NA,NA
1958-12-18,-13.90,-2.20,0.00,NA,NA,NA,NA
1958-12-19,-6.10,3.90,0.00,NA,NA,NA,NA
1958-12-20,-15.00,4.40,0.00,NA,NA,NA,NA
1958-12-21,-11.70,-4.40,0.00,NA,NA,NA,NA
1958-12-22,-12.20,-3.90,0.00,NA,NA,NA,NA
1958-12-23,-4.40,6.70,0.00,NA,NA,NA,NA
1958-12-24,-4.40,2.80,0.00,NA,NA,NA,NA
1958-12-25,-6.10,0.60,0.00,NA,NA,NA,NA
1958-12-26,-10.00,-0.60,0.00,NA,NA,NA,NA
1958-12-27,-6.10,0.60,0.00,NA,NA,NA,NA
1958-12-28,-7.20,8.30,0.00,NA,NA,NA,NA
1958-12-29,-5.00,9.40,0.00,NA,NA,NA,NA
1958-12-30,-5.00,1.70,0.00,NA,NA,NA,NA
1958-12-31,-8.90,-0.60,0.00,NA,NA,NA,NA
1959-01-01,-7.80,2.20,13.70,NA,NA,NA,NA
1959-01-02,-6.10,1.70,0.00,NA,NA,NA,NA
1959-01-03,-3.90,2.80,0.00,NA,NA,NA,NA
1959-01-04,-18.30,-2.20,4.60,NA,NA,NA,NA
1959-01-05,-25.60,-15.00,0.00,NA,NA,NA,NA
1959-01-06,-23.30,-13.30,0.00,NA,NA,NA,NA
1959-01-07,-15.60,-4.40,0.00,NA,NA,NA,NA
1959-01-08,-8.90,-2.80,0.00,NA,NA,NA,NA
1959-01-09,-10.60,-5.00,1.30,NA,NA,NA,NA
1959-01-10,-15.00,-3.30,0.00,NA,NA,NA,NA
1959-01-11,-17.80,-5.00,0.00,NA,NA,NA,NA
1959-01-12,-10.00,-1.70,0.00,NA,NA,NA,NA
1959-01-13,-8.90,2.20,0.00,NA,NA,NA,NA
1959-01-14,-4.40,3.90,0.00,NA,NA,NA,NA
1959-01-15,0.00,6.70,5.10,NA,NA,NA,NA
1959-01-16,-18.30,0.00,0.30,NA,NA,NA,NA
1959-01-17,-18.90,-11.70,0.00,NA,NA,NA,NA
1959-01-18,-19.40,-11.10,0.00,NA,NA,NA,NA
1959-01-19,-16.70,-0.60,4.60,NA,NA,NA,NA
1959-01-20,-17.80,-2.80,0.00,NA,NA,NA,NA
1959-01-21,-7.80,-1.10,34.30,NA,NA,NA,NA
1959-01-22,-20.00,-2.80,3.00,NA,NA,NA,NA
1959-01-23,-21.70,-12.80,3.30,NA,NA,NA,NA
1959-01-24,-20.60,-7.20,0.30,NA,NA,NA,NA
1959-01-25,-7.20,2.80,0.00,NA,NA,NA,NA
1959-01-26,-10.00,-1.70,0.50,NA,NA,NA,NA
1959-01-27,-13.90,-7.20,0.00,NA,NA,NA,NA
1959-01-28,-13.90,-0.60,0.00,NA,NA,NA,NA
1959-01-29,-8.90,1.70,0.00,NA,NA,NA,NA
1959-01-30,-2.80,3.30,7.40,NA,NA,NA,NA
1959-01-31,-11.70,-1.10,0.00,NA,NA,NA,NA
1959-02-01,-12.20,-2.80,0.00,NA,NA,NA,NA
1959-02-02,-18.30,-10.00,0.00,NA,NA,NA,NA
1959-02-03,-13.90,-2.80,0.00,NA,NA,NA,NA
1959-02-04,-9.40,0.00,10.20,NA,NA,NA,NA
1959-02-05,-13.30,-2.80,0.00,NA,NA,NA,NA
1959-02-06,-17.80,-6.10,0.00,NA,NA,NA,NA
1959-02-07,-17.20,-0.60,0.00,NA,NA,NA,NA
1959-02-08,-6.10,0.60,0.00,NA,NA,NA,NA
1959-02-09,-6.10,2.20,1.00,NA,NA,NA,NA
1959-02-10,0.00,6.70,35.80,NA,NA,NA,NA
1959-02-11,-10.00,5.60,0.00,NA,NA,NA,NA
1959-02-12,-8.90,-2.20,0.00,NA,NA,NA,NA
1959-02-13,-4.40,6.70,3.60,NA,NA,NA,NA
1959-02-14,0.60,3.90,6.10,NA,NA,NA,NA
1959-02-15,-5.00,4.40,0.00,NA,NA,NA,NA
1959-02-16,-3.90,-1.10,0.00,NA,NA,NA,NA
1959-02-17,-2.20,3.30,0.00,NA,NA,NA,NA
1959-02-18,-7.80,0.00,1.50,NA,NA,NA,NA
1959-02-19,-17.20,-4.40,0.00,NA,NA,NA,NA
1959-02-20,-25.00,-10.00,0.00,NA,NA,NA,NA
1959-02-21,-18.90,-6.10,0.00,NA,NA,NA,NA
1959-02-22,-7.20,2.20,0.00,NA,NA,NA,NA
1959-02-23,-2.80,6.70,12.40,NA,NA,NA,NA
1959-02-24,-3.90,3.30,0.00,NA,NA,NA,NA
1959-02-25,-7.20,1.10,0.00,NA,NA,NA,NA
1959-02-26,-1.70,5.60,1.30,NA,NA,NA,NA
1959-02-27,-3.30,4.40,3.30,NA,NA,NA,NA
1959-02-28,-1.10,9.40,0.00,NA,NA,NA,NA
1959-03-01,-1.10,2.80,0.00,NA,NA,NA,NA
1959-03-02,-4.40,5.60,0.00,NA,NA,NA,NA
1959-03-03,-2.20,8.90,0.00,NA,NA,NA,NA
1959-03-04,-6.70,4.40,0.50,NA,NA,NA,NA
1959-03-05,-3.30,2.80,0.00,NA,NA,NA,NA
1959-03-06,-3.30,4.40,9.10,NA,NA,NA,NA
1959-03-07,-10.60,-1.70,0.50,NA,NA,NA,NA
1959-03-08,-6.10,0.60,0.00,NA,NA,NA,NA
1959-03-09,-1.10,5.60,2.80,NA,NA,NA,NA
1959-03-10,-3.90,-0.60,0.00,NA,NA,NA,NA
1959-03-11,-4.40,0.60,1.50,NA,NA,NA,NA
