Daily data for a single station.
StationID:,725377-14804
StationName:,"SELFRIDGE AIR NATIONAL GU"
Lat&Long:,42.608,-82.810
Elevation:,-999.900
Starts(YMD):,1940-01-01
Ends(YMD):,2024-10-22
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,WindSpeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
1940-01-01,NA,NA,NA,-7.6,-12.3,5.73,88.8
1940-01-02,NA,NA,NA,-6.9,-11.3,5.22,76.9
1940-01-03,NA,NA,NA,-6.9,-10.5,5.24,96.9
1940-01-04,NA,NA,NA,-8.8,-11.7,4.92,76.0
1940-01-05,NA,NA,NA,-9.8,-13.4,6.22,56.9
1940-01-06,NA,NA,NA,-5.2,-9.5,4.61,67.5
1940-01-07,NA,NA,NA,-7.0,-10.3,4.41,100.0
1940-01-08,NA,NA,NA,-7.3,-11.5,3.62,50.8
1940-01-09,NA,NA,NA,-9.0,-12.3,2.75,42.5
1940-01-10,NA,NA,NA,-4.6,-7.2,2.69,93.3
1940-01-11,NA,NA,NA,-0.2,-0.9,7.50,100.0
1940-01-12,NA,NA,NA,0.9,-1.7,3.61,67.9
1940-01-13,NA,NA,NA,0.3,-2.9,4.30,92.1
1940-01-14,NA,NA,NA,2.0,0.4,16.48,99.0
1940-01-15,NA,NA,NA,-3.4,-7.6,12.09,73.7
1940-01-16,NA,NA,NA,-12.6,-21.0,6.56,56.9
1940-01-17,NA,NA,NA,-12.2,-18.5,4.69,63.1
1940-01-18,NA,NA,NA,-15.0,-21.2,6.65,32.7
1940-01-19,NA,NA,NA,-18.2,-25.3,10.19,57.1
1940-01-20,NA,NA,NA,-10.7,-14.5,9.10,92.9
1940-01-21,NA,NA,NA,-7.3,-10.0,8.57,99.0
1940-01-22,NA,NA,NA,-5.0,-8.8,6.36,96.2
1940-01-23,NA,NA,NA,-5.8,-8.6,3.27,96.9
1940-01-24,NA,NA,NA,-6.1,-8.5,3.67,90.4
1940-01-25,NA,NA,NA,-8.9,-12.1,5.62,79.1
1940-01-26,NA,NA,NA,-9.6,-14.9,5.28,87.1
1940-01-27,NA,NA,NA,-8.5,-13.3,4.41,96.2
1940-01-28,NA,NA,NA,-7.0,-11.5,4.25,90.0
1940-01-29,NA,NA,NA,-7.0,-9.9,4.52,87.5
1940-01-30,NA,NA,NA,-5.9,-9.0,3.70,45.0
1940-01-31,NA,NA,NA,-8.9,-11.0,2.90,62.5
1940-02-01,NA,NA,NA,-2.5,-3.6,4.54,100.0
1940-02-02,NA,NA,NA,-9.0,-14.1,7.61,24.8
1940-02-03,NA,NA,NA,-2.3,-7.9,4.55,0.0
1940-02-04,NA,NA,NA,-2.1,-5.1,3.06,91.9
1940-02-05,NA,NA,NA,-0.4,-1.2,1.42,100.0
1940-02-06,NA,NA,NA,-0.4,-0.6,2.71,100.0
1940-02-07,NA,NA,NA,-1.3,-5.0,4.38,100.0
1940-02-08,NA,NA,NA,-1.9,-4.0,5.20,100.0
1940-02-09,NA,NA,NA,-5.5,-8.4,5.82,97.9
1940-02-10,NA,NA,NA,-3.0,-4.2,4.45,100.0
1940-02-11,NA,NA,NA,-4.3,-7.3,4.50,53.8
1940-02-12,NA,NA,NA,0.5,-2.0,6.95,77.3
1940-02-13,NA,NA,NA,-5.8,-8.8,6.19,94.8
1940-02-14,NA,NA,NA,-4.6,-9.6,7.73,67.2
1940-02-15,NA,NA,NA,-4.6,-10.3,3.55,15.8
1940-02-16,NA,NA,NA,-5.4,-10.3,2.23,20.7
1940-02-17,NA,NA,NA,-3.5,-8.9,4.48,52.7
1940-02-18,NA,NA,NA,-01.0,-3.2,7.97,100.0
1940-02-19,NA,NA,NA,1.7,0.3,8.59,100.0
1940-02-20,NA,NA,NA,0.3,-2.3,11.50,70.4
1940-02-21,NA,NA,NA,-3.9,-8.9,4.59,0.2
1940-02-22,NA,NA,NA,-3.7,-8.1,3.76,47.3
1940-02-23,NA,NA,NA,-3.3,-9.5,5.32,50.6
1940-02-24,NA,NA,NA,-1.6,-3.2,7.95,93.3
1940-02-25,NA,NA,NA,-9.5,-15.9,6.23,37.3
1940-02-26,NA,NA,NA,-7.8,-11.4,5.22,80.2
1940-02-27,NA,NA,NA,-2.5,-4.1,5.31,100.0
1940-02-28,NA,NA,NA,-0.7,-3.5,2.77,93.9
1940-02-29,NA,NA,NA,-3.3,-7.7,3.30,81.7
1940-03-01,NA,NA,NA,-4.3,-7.1,5.35,74.4
1940-03-02,NA,NA,NA,-3.5,-6.3,4.54,78.3
1940-03-03,NA,NA,NA,01.0,0.9,5.68,100.0
1940-03-04,NA,NA,NA,1.3,-0.2,5.79,100.0
1940-03-05,NA,NA,NA,0.0,-3.1,4.21,74.0
1940-03-06,NA,NA,NA,0.1,-4.3,5.49,84.8
1940-03-07,NA,NA,NA,-2.3,-7.2,5.64,52.9
1940-03-08,NA,NA,NA,-1.4,-5.2,5.54,95.2
1940-03-09,NA,NA,NA,-2.6,-7.4,5.86,76.3
1940-03-10,NA,NA,NA,-5.8,-11.6,5.93,38.3
1940-03-11,NA,NA,NA,-7.7,-12.9,4.86,22.3
1940-03-12,NA,NA,NA,-7.1,-15.3,6.21,65.0
1940-03-13,NA,NA,NA,-2.2,-6.3,7.12,97.9
1940-03-14,NA,NA,NA,-1.9,-5.6,5.27,85.2
1940-03-15,NA,NA,NA,-4.4,-8.5,6.75,97.9
1940-03-16,NA,NA,NA,-0.9,-5.6,5.08,61.0
1940-03-17,NA,NA,NA,-0.8,-3.1,3.50,77.5
1940-03-18,NA,NA,NA,-0.0,-2.0,4.61,74.8
1940-03-19,NA,NA,NA,1.5,-3.5,6.25,53.1
1940-03-20,NA,NA,NA,-2.5,-6.5,5.77,50.9
1940-03-21,NA,NA,NA,-3.9,-6.9,5.32,79.8
1940-03-22,NA,NA,NA,-8.8,-13.7,6.21,24.0
1940-03-23,NA,NA,NA,-11.3,-17.2,5.45,28.3
1940-03-24,NA,NA,NA,-11.3,-16.6,4.67,45.2
1940-03-25,NA,NA,NA,-8.8,-14.0,6.24,4.8
1940-03-26,NA,NA,NA,-5.1,-9.5,3.52,48.3
1940-03-27,NA,NA,NA,-1.3,-2.4,3.78,93.8
1940-03-28,NA,NA,NA,-0.1,-3.0,3.62,69.0
1940-03-29,NA,NA,NA,7.8,4.8,7.16,68.5
1940-03-30,NA,NA,NA,6.8,3.4,3.69,78.8
1940-03-31,NA,NA,NA,5.2,-0.0,5.98,35.8
1940-04-01,NA,NA,NA,2.7,-2.8,3.22,19.6
1940-04-02,NA,NA,NA,2.2,-2.3,3.65,80.0
1940-04-03,NA,NA,NA,3.6,0.8,4.28,89.3
1940-04-04,NA,NA,NA,4.2,1.5,6.11,66.6
1940-04-05,NA,NA,NA,3.1,-2.9,5.68,23.8
1940-04-06,NA,NA,NA,6.3,-1.3,4.15,22.5
1940-04-07,NA,NA,NA,5.5,1.8,4.62,83.5
1940-04-08,NA,NA,NA,9.3,6.0,5.99,92.1
1940-04-09,NA,NA,NA,5.9,0.8,6.61,59.2
1940-04-10,NA,NA,NA,3.5,-1.5,4.82,56.9
1940-04-11,NA,NA,NA,2.5,1.0,6.82,100.0
1940-04-12,NA,NA,NA,-3.8,-9.0,5.49,87.7
1940-04-13,NA,NA,NA,-2.2,-6.6,4.13,46.7
1940-04-14,NA,NA,NA,01.0,-5.3,5.47,36.9
1940-04-15,NA,NA,NA,6.6,2.2,4.92,61.5
1940-04-16,NA,NA,NA,5.2,-3.0,5.35,44.2
1940-04-17,NA,NA,NA,5.7,0.7,4.74,77.9
1940-04-18,NA,NA,NA,5.8,2.7,5.42,83.4
1940-04-19,NA,NA,NA,4.7,-1.2,4.85,97.3
1940-04-20,NA,NA,NA,5.9,-0.3,10.48,82.2
1940-04-21,NA,NA,NA,6.3,-1.7,6.31,7.3
1940-04-22,NA,NA,NA,6.5,-0.8,4.95,12.9
1940-04-23,NA,NA,NA,5.9,-0.2,2.87,61.9
1940-04-24,NA,NA,NA,6.6,0.5,1.99,69.4
1940-04-25,NA,NA,NA,5.5,2.0,2.50,54.4
1940-04-26,NA,NA,NA,6.5,-0.8,3.30,40.6
1940-04-27,NA,NA,NA,7.2,-3.3,2.81,0.4
1940-04-28,NA,NA,NA,9.1,-0.4,4.37,26.2
1940-04-29,NA,NA,NA,13.9,8.1,6.56,62.1
1940-04-30,NA,NA,NA,17.7,11.4,7.80,56.1
1940-05-01,NA,NA,NA,9.6,7.5,9.21,90.4
1940-05-02,NA,NA,NA,2.5,1.1,8.03,91.5
1940-05-03,NA,NA,NA,4.1,2.4,4.72,83.3
1940-05-04,NA,NA,NA,6.5,2.1,4.67,41.5
1940-05-05,NA,NA,NA,11.9,5.4,4.92,34.6
1940-05-06,NA,NA,NA,17.8,9.3,6.73,57.9
1940-05-07,NA,NA,NA,10.4,5.0,3.49,47.3
1940-05-08,NA,NA,NA,7.8,5.3,4.16,89.6
1940-05-09,NA,NA,NA,10.8,1.4,3.23,17.9
1940-05-10,NA,NA,NA,10.3,0.3,3.17,54.8
1940-05-11,NA,NA,NA,10.7,1.8,4.32,29.4
1940-05-12,NA,NA,NA,15.0,5.3,4.99,93.8
1940-05-13,NA,NA,NA,17.8,10.4,3.16,45.0
1940-05-14,NA,NA,NA,18.9,13.4,3.72,63.3
1940-05-15,NA,NA,NA,13.8,9.4,7.30,61.2
1940-05-16,NA,NA,NA,7.7,5.1,7.09,96.9
1940-05-17,NA,NA,NA,8.6,5.1,3.62,89.6
1940-05-18,NA,NA,NA,11.5,6.1,4.15,64.2
1940-05-19,NA,NA,NA,14.0,10.3,6.79,74.2
1940-05-20,NA,NA,NA,16.2,10.5,5.62,26.2
1940-05-21,NA,NA,NA,16.7,11.6,4.30,42.5
1940-05-22,NA,NA,NA,17.6,13.0,4.10,67.9
1940-05-23,NA,NA,NA,14.3,6.7,5.00,62.5
1940-05-24,NA,NA,NA,11.2,8.2,6.13,99.0
1940-05-25,NA,NA,NA,13.5,9.4,4.72,67.1
1940-05-26,NA,NA,NA,13.8,10.9,4.09,46.5
1940-05-27,NA,NA,NA,14.2,11.1,5.28,57.7
1940-05-28,NA,NA,NA,15.7,11.5,3.22,26.5
1940-05-29,NA,NA,NA,15.4,11.6,3.37,52.9
1940-05-30,NA,NA,NA,15.6,13.2,3.79,83.3
1940-05-31,NA,NA,NA,13.1,12.2,3.90,100.0
1940-06-01,NA,NA,NA,15.0,13.1,2.77,75.4
1940-06-02,NA,NA,NA,17.7,19.3,3.29,9.0
1940-06-03,NA,NA,NA,23.5,15.6,3.60,29.4
1940-06-04,NA,NA,NA,23.2,17.0,3.92,20.2
1940-06-05,NA,NA,NA,22.3,15.9,5.12,44.4
1940-06-06,NA,NA,NA,18.0,12.6,4.21,47.9
1940-06-07,NA,NA,NA,22.9,17.8,3.90,43.8
1940-06-08,NA,NA,NA,22.5,19.4,4.38,69.4
1940-06-09,NA,NA,NA,20.2,18.0,2.71,57.3
1940-06-10,NA,NA,NA,21.6,19.9,3.87,57.9
1940-06-11,NA,NA,NA,21.0,19.1,3.26,84.2
1940-06-12,NA,NA,NA,20.4,18.8,3.37,87.5
1940-06-13,NA,NA,NA,20.7,15.8,5.25,54.4
1940-06-14,NA,NA,NA,18.4,14.4,4.77,57.7
1940-06-15,NA,NA,NA,22.4,15.7,5.90,35.0
1940-06-16,NA,NA,NA,19.1,13.1,4.12,21.2
1940-06-17,NA,NA,NA,23.5,20.3,5.15,76.2
1940-06-18,NA,NA,NA,24.3,21.4,5.07,69.0
1940-06-19,NA,NA,NA,18.7,10.8,5.14,18.8
1940-06-20,NA,NA,NA,13.0,5.2,4.86,43.3
1940-06-21,NA,NA,NA,14.2,7.7,2.87,31.7
1940-06-22,NA,NA,NA,16.5,11.9,5.30,95.2
1940-06-23,NA,NA,NA,18.1,16.6,6.23,80.2
1940-06-24,NA,NA,NA,19.4,15.7,6.97,77.3
1940-06-25,NA,NA,NA,16.9,11.2,6.24,67.1
1940-06-26,NA,NA,NA,15.8,9.7,3.91,48.3
1940-06-27,NA,NA,NA,17.8,10.3,2.86,24.6
1940-06-28,NA,NA,NA,20.1,14.8,6.24,48.5
1940-06-29,NA,NA,NA,16.9,10.8,5.80,41.2
1940-06-30,NA,NA,NA,16.6,10.7,5.10,38.5
1940-07-01,NA,NA,NA,16.2,10.0,3.10,41.5
1940-07-02,NA,NA,NA,16.3,10.1,2.82,34.0
1940-07-03,NA,NA,NA,16.5,8.9,3.38,23.1
1940-07-04,NA,NA,NA,17.8,9.5,2.68,31.5
1940-07-05,NA,NA,NA,20.9,13.6,2.60,10.6
1940-07-06,NA,NA,NA,21.6,15.4,4.92,2.3
1940-07-07,NA,NA,NA,22.8,16.0,4.34,21.9
1940-07-08,NA,NA,NA,22.9,18.1,4.78,39.6
1940-07-09,NA,NA,NA,22.6,14.5,2.82,35.6
1940-07-10,NA,NA,NA,22.7,17.5,2.71,58.1
1940-07-11,NA,NA,NA,18.8,16.8,4.95,83.3
1940-07-12,NA,NA,NA,16.6,9.0,6.03,26.0
1940-07-13,NA,NA,NA,17.9,9.0,2.56,7.5
1940-07-14,NA,NA,NA,19.6,13.0,4.90,54.4
1940-07-15,NA,NA,NA,20.5,15.5,4.90,60.6
1940-07-16,NA,NA,NA,17.7,10.8,4.19,19.4
1940-07-17,NA,NA,NA,18.9,12.6,2.54,11.5
1940-07-18,NA,NA,NA,21.8,16.3,2.30,9.4
1940-07-19,NA,NA,NA,26.2,20.2,3.34,26.5
1940-07-20,NA,NA,NA,28.4,18.8,4.35,65.0
1940-07-21,NA,NA,NA,28.5,19.5,3.27,34.4
1940-07-22,NA,NA,NA,28.0,20.3,3.48,37.7
1940-07-23,NA,NA,NA,27.4,22.3,3.65,30.2
1940-07-24,NA,NA,NA,27.8,21.0,3.65,25.6
1940-07-25,NA,NA,NA,29.9,21.0,5.37,33.5
1940-07-26,NA,NA,NA,27.8,20.9,3.54,56.9
1940-07-27,NA,NA,NA,24.6,20.6,3.25,56.9
1940-07-28,NA,NA,NA,25.0,20.7,3.56,28.5
1940-07-29,NA,NA,NA,29.6,23.1,4.46,44.0
1940-07-30,NA,NA,NA,27.3,20.5,3.91,50.0
1940-07-31,NA,NA,NA,20.9,14.9,4.66,12.7
1940-08-01,NA,NA,NA,20.9,12.8,3.26,10.8
1940-08-02,NA,NA,NA,22.5,15.6,3.85,72.2
1940-08-03,NA,NA,NA,24.2,19.7,4.83,70.4
1940-08-04,NA,NA,NA,25.1,20.8,5.94,51.0
1940-08-05,NA,NA,NA,23.2,20.8,4.02,56.5
1940-08-06,NA,NA,NA,22.1,17.6,4.12,49.6
1940-08-07,NA,NA,NA,21.4,14.7,2.22,17.3
1940-08-08,NA,NA,NA,22.0,15.1,1.97,8.3
1940-08-09,NA,NA,NA,22.8,17.1,2.97,46.9
1940-08-10,NA,NA,NA,24.8,19.3,4.75,73.1
1940-08-11,NA,NA,NA,25.0,19.2,4.07,65.0
1940-08-12,NA,NA,NA,26.4,22.0,3.39,54.8
1940-08-13,NA,NA,NA,24.9,21.8,2.91,53.1
1940-08-14,NA,NA,NA,24.6,19.2,4.23,3.1
1940-08-15,NA,NA,NA,24.1,16.6,3.59,29.2
1940-08-16,NA,NA,NA,24.8,19.9,4.07,35.2
1940-08-17,NA,NA,NA,25.4,21.6,2.64,33.8
1940-08-18,NA,NA,NA,23.5,20.2,4.66,57.5
1940-08-19,NA,NA,NA,17.5,13.7,4.42,73.5
1940-08-20,NA,NA,NA,14.5,9.3,3.57,23.5
1940-08-21,NA,NA,NA,16.6,10.1,3.79,25.7
1940-08-22,NA,NA,NA,17.1,12.3,4.58,47.1
1940-08-23,NA,NA,NA,14.0,9.2,4.45,40.6
1940-08-24,NA,NA,NA,14.3,6.5,2.24,34.0
1940-08-25,NA,NA,NA,13.8,10.6,4.84,86.4
1940-08-26,NA,NA,NA,17.0,13.5,3.96,97.0
1940-08-27,NA,NA,NA,16.7,15.0,4.70,94.3
1940-08-28,NA,NA,NA,19.6,18.1,3.21,90.4
1940-08-29,NA,NA,NA,22.2,20.1,4.70,65.6
1940-08-30,NA,NA,NA,22.4,19.6,2.84,67.7
1940-08-31,NA,NA,NA,19.0,15.9,3.17,42.7
1940-09-01,NA,NA,NA,17.9,15.1,2.46,63.8
1940-09-02,NA,NA,NA,17.8,14.5,3.28,43.2
1940-09-03,NA,NA,NA,18.2,14.8,2.53,16.2
1940-09-04,NA,NA,NA,20.6,14.9,1.87,14.4
1940-09-05,NA,NA,NA,21.3,16.2,2.47,9.6
1940-09-06,NA,NA,NA,19.7,16.2,1.43,23.5
1940-09-07,NA,NA,NA,23.0,17.3,2.52,50.0
1940-09-08,NA,NA,NA,21.3,17.9,3.47,43.1
1940-09-09,NA,NA,NA,18.9,15.9,3.99,76.9
1940-09-10,NA,NA,NA,11.9,6.5,5.91,38.5
1940-09-11,NA,NA,NA,10.6,5.9,4.10,64.6
1940-09-12,NA,NA,NA,12.7,8.3,3.23,72.3
1940-09-13,NA,NA,NA,15.0,9.9,4.69,62.1
1940-09-14,NA,NA,NA,17.4,12.6,6.10,69.4
1940-09-15,NA,NA,NA,15.6,13.0,3.38,50.6
1940-09-16,NA,NA,NA,16.7,13.3,2.77,39.6
1940-09-17,NA,NA,NA,15.5,12.3,1.85,17.1
1940-09-18,NA,NA,NA,16.7,13.7,2.25,41.9
1940-09-19,NA,NA,NA,19.5,16.6,3.29,69.4
1940-09-20,NA,NA,NA,24.2,17.6,3.07,31.2
1940-09-21,NA,NA,NA,22.0,17.3,4.22,27.5
1940-09-22,NA,NA,NA,18.5,15.5,2.50,19.0
1940-09-23,NA,NA,NA,18.8,15.4,3.52,50.5
1940-09-24,NA,NA,NA,15.3,12.5,5.90,97.9
1940-09-25,NA,NA,NA,8.1,2.2,6.05,52.7
1940-09-26,NA,NA,NA,8.7,1.8,2.86,0.0
1940-09-27,NA,NA,NA,11.5,5.1,3.54,8.5
1940-09-28,NA,NA,NA,12.7,5.9,2.54,0.8
1940-09-29,NA,NA,NA,13.5,8.6,2.77,52.3
1940-09-30,NA,NA,NA,12.6,9.0,3.07,14.8
1940-10-01,NA,NA,NA,12.9,9.5,2.32,62.2
1940-10-02,NA,NA,NA,13.8,11.1,3.60,49.0
1940-10-03,NA,NA,NA,15.3,11.0,2.81,10.4
1940-10-04,NA,NA,NA,14.2,12.4,3.57,69.8
1940-10-05,NA,NA,NA,18.6,14.1,5.40,40.0
1940-10-06,NA,NA,NA,19.3,15.2,5.37,61.5
1940-10-07,NA,NA,NA,14.2,10.1,4.97,66.7
1940-10-08,NA,NA,NA,10.1,4.4,3.56,46.5
1940-10-09,NA,NA,NA,9.9,5.8,2.90,19.6
1940-10-10,NA,NA,NA,12.0,8.1,4.10,23.8
1940-10-11,NA,NA,NA,14.9,10.6,3.48,84.6
1940-10-12,NA,NA,NA,16.8,12.1,6.34,54.4
1940-10-13,NA,NA,NA,16.1,6.7,3.27,42.8
1940-10-14,NA,NA,NA,13.8,10.5,4.57,68.3
1940-10-15,NA,NA,NA,8.1,4.2,6.55,47.1
1940-10-16,NA,NA,NA,7.3,1.2,4.29,15.0
1940-10-17,NA,NA,NA,8.9,4.2,4.81,53.1
1940-10-18,NA,NA,NA,5.2,-0.2,4.03,43.5
1940-10-19,NA,NA,NA,4.7,2.6,2.81,96.9
1940-10-20,NA,NA,NA,6.4,3.8,1.75,94.8
1940-10-21,NA,NA,NA,5.5,0.7,3.79,42.1
1940-10-22,NA,NA,NA,7.4,3.7,4.62,28.3
1940-10-23,NA,NA,NA,15.5,8.0,6.35,39.4
1940-10-24,NA,NA,NA,10.1,3.8,1.38,27.9
1940-10-25,NA,NA,NA,11.4,8.2,1.90,42.7
1940-10-26,NA,NA,NA,7.8,2.7,3.36,38.3
1940-10-27,NA,NA,NA,8.1,2.2,3.46,96.7
1940-10-28,NA,NA,NA,6.7,0.9,5.03,89.3
1940-10-29,NA,NA,NA,7.5,5.3,4.29,93.1
1940-10-30,NA,NA,NA,9.9,6.3,3.59,64.6
1940-10-31,NA,NA,NA,7.9,5.4,2.42,87.7
1940-11-01,NA,NA,NA,8.6,7.4,5.70,99.0
1940-11-02,NA,NA,NA,10.4,4.6,6.66,42.7
1940-11-03,NA,NA,NA,9.5,4.7,3.25,61.9
1940-11-04,NA,NA,NA,11.8,6.5,5.12,70.2
1940-11-05,NA,NA,NA,10.9,7.1,8.02,83.1
1940-11-06,NA,NA,NA,3.2,-1.8,7.68,62.7
1940-11-07,NA,NA,NA,-0.7,-5.4,4.52,31.9
1940-11-08,NA,NA,NA,0.1,-4.6,4.02,25.8
1940-11-09,NA,NA,NA,2.8,-0.6,4.14,69.0
1940-11-10,NA,NA,NA,7.4,5.9,5.92,100.0
1940-11-11,NA,NA,NA,9.7,7.8,13.15,81.2
1940-11-12,NA,NA,NA,-0.2,-9.6,12.98,1.0
1940-11-13,NA,NA,NA,-3.3,-10.4,3.21,33.8
1940-11-14,NA,NA,NA,-3.7,-9.5,3.53,41.9
1940-11-15,NA,NA,NA,-1.1,-6.5,4.97,63.3
1940-11-16,NA,NA,NA,-2.2,-7.3,7.75,88.8
1940-11-17,NA,NA,NA,4.4,0.3,5.51,88.5
1940-11-18,NA,NA,NA,2.8,0.1,2.55,70.0
1940-11-19,NA,NA,NA,6.2,1.6,6.99,69.4
1940-11-20,NA,NA,NA,6.3,2.3,4.41,62.8
1940-11-21,NA,NA,NA,7.8,6.3,5.52,78.1
1940-11-22,NA,NA,NA,6.9,3.0,5.69,82.5
1940-11-23,NA,NA,NA,4.6,1.5,0.90,86.2
1940-11-24,NA,NA,NA,2.8,-1.6,4.48,94.1
1940-11-25,NA,NA,NA,-1.4,-7.8,4.72,34.6
1940-11-26,NA,NA,NA,-2.1,-5.2,7.90,75.0
1940-11-27,NA,NA,NA,-1.6,-3.9,4.70,92.1
1940-11-28,NA,NA,NA,-4.0,-6.8,5.94,77.6
1940-11-29,NA,NA,NA,-1.2,-3.4,7.80,92.7
1940-11-30,NA,NA,NA,-0.8,-1.5,4.69,98.6
1940-12-01,NA,NA,NA,-3.2,-6.9,5.40,72.9
1940-12-02,NA,NA,NA,-6.8,-10.7,5.80,52.9
1940-12-03,NA,NA,NA,-12.0,-17.2,4.76,30.0
1940-12-04,NA,NA,NA,-5.4,-8.3,6.75,92.2
1940-12-05,NA,NA,NA,-5.8,-9.8,4.11,54.8
1940-12-06,NA,NA,NA,-0.5,-3.8,10.12,70.4
1940-12-07,NA,NA,NA,2.4,-0.6,7.95,100.0
1940-12-08,NA,NA,NA,-3.4,-7.1,4.60,99.0
1940-12-09,NA,NA,NA,0.9,-1.8,5.62,73.1
1940-12-10,NA,NA,NA,2.9,-1.4,6.20,91.0
1940-12-11,NA,NA,NA,-0.4,-3.9,2.37,98.3
1940-12-12,NA,NA,NA,0.6,0.2,4.40,100.0
1940-12-13,NA,NA,NA,-4.2,-8.2,5.79,73.8
1940-12-14,NA,NA,NA,-6.5,-10.7,1.06,39.2
1940-12-15,NA,NA,NA,-1.6,-7.0,3.05,63.8
1940-12-16,NA,NA,NA,4.0,1.6,8.19,87.5
1940-12-17,NA,NA,NA,-1.9,-5.5,4.58,80.4
1940-12-18,NA,NA,NA,-1.1,-3.9,2.70,62.7
1940-12-19,NA,NA,NA,0.5,-1.7,4.23,80.8
1940-12-20,NA,NA,NA,3.7,2.5,3.89,93.8
1940-12-21,NA,NA,NA,1.5,-0.5,3.85,77.7
1940-12-22,NA,NA,NA,2.0,-0.1,3.98,99.0
1940-12-23,NA,NA,NA,0.8,-1.4,3.98,92.7
1940-12-24,NA,NA,NA,01.0,-0.4,3.34,41.5
1940-12-25,NA,NA,NA,3.4,1.4,1.97,44.6
1940-12-26,NA,NA,NA,6.5,5.7,1.52,96.9
1940-12-27,NA,NA,NA,3.2,2.2,5.40,99.0
1940-12-28,NA,NA,NA,3.6,3.1,4.95,100.0
1940-12-29,NA,NA,NA,2.6,2.0,6.80,97.9
1940-12-30,NA,NA,NA,-0.3,-2.3,7.57,100.0
1940-12-31,NA,NA,NA,-0.7,-3.4,3.25,94.4
1941-01-01,NA,NA,NA,0.5,-1.9,3.52,94.8
1941-01-02,NA,NA,NA,3.1,1.3,7.42,100.0
1941-01-03,NA,NA,NA,0.4,-5.6,5.38,30.2
1941-01-04,NA,NA,NA,-6.3,-11.5,9.18,47.9
1941-01-05,NA,NA,NA,-7.3,-11.8,6.68,30.6
1941-01-06,NA,NA,NA,-5.6,-9.7,3.13,40.4
1941-01-07,NA,NA,NA,-3.8,-7.2,2.24,75.4
1941-01-08,NA,NA,NA,-1.4,-4.3,4.01,83.0
1941-01-09,NA,NA,NA,-1.2,-4.4,5.75,88.4
1941-01-10,NA,NA,NA,-2.8,-5.9,5.36,95.7
1941-01-11,NA,NA,NA,-2.5,-5.0,5.01,93.8
1941-01-12,NA,NA,NA,-1.0,-3.7,4.42,90.0
1941-01-13,NA,NA,NA,-5.5,-9.3,5.16,80.6
1941-01-14,NA,NA,NA,-8.8,-13.5,4.07,62.9
1941-01-15,NA,NA,NA,-5.3,-10.5,5.52,97.3
1941-01-16,NA,NA,NA,-1.3,-2.8,4.67,100.0
1941-01-17,NA,NA,NA,2.2,2.0,3.36,100.0
1941-01-18,NA,NA,NA,-1.8,-5.5,6.86,85.4
1941-01-19,NA,NA,NA,-7.2,-12.5,6.97,51.9
1941-01-20,NA,NA,NA,-7.4,-12.3,3.38,42.1
1941-01-21,NA,NA,NA,-2.8,-6.6,5.20,71.2
1941-01-22,NA,NA,NA,1.8,0.6,6.00,97.3
1941-01-23,NA,NA,NA,-5.3,-9.1,5.31,78.8
1941-01-24,NA,NA,NA,-6.5,-10.6,5.66,86.7
1941-01-25,NA,NA,NA,-5.2,-9.2,2.46,52.3
1941-01-26,NA,NA,NA,-4.3,-6.6,6.20,84.2
1941-01-27,NA,NA,NA,-4.2,-7.0,5.44,100.0
1941-01-28,NA,NA,NA,-3.4,-6.2,4.09,94.4
1941-01-29,NA,NA,NA,-4.0,-7.5,4.62,84.8
1941-01-30,NA,NA,NA,-1.1,-3.2,6.40,96.9
1941-01-31,NA,NA,NA,-0.9,-4.0,3.32,92.8
1941-02-01,NA,NA,NA,1.1,-2.6,5.72,86.5
1941-02-02,NA,NA,NA,-0.7,-3.8,6.17,88.5
1941-02-03,NA,NA,NA,-5.4,-10.3,6.51,69.8
1941-02-04,NA,NA,NA,-7.4,-11.4,2.88,71.9
1941-02-05,NA,NA,NA,-3.5,-7.2,5.42,38.1
1941-02-06,NA,NA,NA,1.7,-0.6,5.20,99.0
1941-02-07,NA,NA,NA,-3.5,-7.7,4.97,78.1
1941-02-08,NA,NA,NA,-5.3,-8.5,8.88,72.3
1941-02-09,NA,NA,NA,-5.1,-10.3,5.50,39.6
1941-02-10,NA,NA,NA,-4.9,-9.0,4.67,46.9
1941-02-11,NA,NA,NA,-1.1,-4.1,5.03,26.9
1941-02-12,NA,NA,NA,2.1,-0.8,4.20,57.5
1941-02-13,NA,NA,NA,3.7,0.8,6.45,84.6
1941-02-14,NA,NA,NA,1.4,-0.7,6.96,100.0
1941-02-15,NA,NA,NA,-2.6,-7.3,5.18,81.2
1941-02-16,NA,NA,NA,-4.0,-8.6,4.54,58.3
1941-02-17,NA,NA,NA,-3.3,-6.0,7.50,85.2
1941-02-18,NA,NA,NA,-9.5,-14.7,7.95,27.5
1941-02-19,NA,NA,NA,-9.7,-15.1,7.98,50.0
1941-02-20,NA,NA,NA,-7.7,-12.7,6.55,87.5
1941-02-21,NA,NA,NA,-4.6,-8.2,5.88,99.0
1941-02-22,NA,NA,NA,-3.9,-6.6,5.00,95.9
1941-02-23,NA,NA,NA,-5.3,-9.7,5.03,52.7
